"subj","cell","alpha","nu"
17,"cong/post-err",1.70729125337247,1.00542308565145
18,"cong/post-err",1.94417081650585,0.83903135220428
19,"cong/post-err",1.84073970132581,1.28531198628016
20,"cong/post-err",1.98008212305355,0.106888548888171
21,"cong/post-err",1.89712434251906,1.37453363090718
22,"cong/post-err",1.72806911917764,0.1268693472048
23,"cong/post-err",1.90932844539998,0.955946315080174
24,"cong/post-err",1.85722180056812,1.27262877937088
25,"cong/post-err",1.64652906593211,0.681377409686781
26,"cong/post-err",1.94550168838059,0.9797231215924
27,"cong/post-err",1.7761363003913,0.6969637728715
28,"cong/post-err",1.89973672427659,1.1579875127959
29,"cong/post-err",1.74814795539528,0.0697574254170999
30,"cong/post-err",2.04320380800705,0.34391459973115
31,"cong/post-err",1.81766795111252,0.745840637690484
32,"cong/post-err",1.90429730169139,0.637136200778503
33,"cong/post-err",1.59844759179593,0.185550633399116
34,"cong/post-err",1.81918838625857,1.32369148386061
35,"cong/post-err",1.86597950819659,1.01403245196216
36,"cong/post-err",1.87143786221344,0.774109245017815
37,"cong/post-err",2.00933065947478,1.50215428897929
38,"cong/post-err",1.98099636366901,1.292124241003
39,"cong/post-err",1.76700478592323,1.188344606982
40,"cong/post-err",1.78811648318764,1.40039816956513
41,"cong/post-err",1.87627671092692,1.42932932838961
42,"cong/post-err",1.73703754616804,0.709356195856321
43,"cong/post-err",1.86994356288563,0.6927162925549
44,"cong/post-err",1.91690824759313,-0.21226783366885
45,"cong/post-err",1.92684311732817,0.211606664452993
46,"cong/post-err",1.74820522881589,1.23724542217587
47,"cong/post-err",1.81126613407691,1.25538449615173
48,"cong/post-err",1.67992689624077,1.68134316411773
49,"cong/post-err",1.58968837378955,1.68921894146194
50,"cong/post-err",1.89036526771714,1.22659372958155
51,"cong/post-err",1.91799774799074,1.5016510939842
52,"cong/post-err",1.76787657214979,1.91562051892395
53,"cong/post-err",1.94862156291165,0.814783788572555
54,"cong/post-err",2.01500697759912,1.78197332308065
55,"cong/post-err",2.21097003563813,0.13104269608
56,"cong/post-err",1.9153931635294,1.5603030114835
57,"cong/post-err",1.77115253559111,0.9627022751093
58,"cong/post-err",1.65879815633757,2.12297527501225
59,"cong/post-err",1.85327230695636,0.835257359868465
60,"cong/post-err",1.96792947843806,1.2303794834055
61,"cong/post-err",2.24369659419479,0.9639461562835
62,"cong/post-err",1.97611539245295,0.6684793518738
63,"cong/post-err",1.88515184933339,1.57343576947415
64,"cong/post-err",1.76933348618454,0.577126640723995
65,"cong/post-err",1.69413044694583,1.1078562390285
66,"cong/post-err",1.79165590599446,0.128048685215577
67,"cong/post-err",1.96510797494106,0.868601495934549
68,"cong/post-err",1.88511402024826,1.06284724594716
69,"cong/post-err",1.87923008132511,1.28072672149086
70,"cong/post-err",1.81383125880823,1.05495769379753
71,"cong/post-err",1.72765104311341,-0.1386443212897
72,"cong/post-err",1.93142430522914,0.493200561138739
73,"cong/post-err",1.79084701180564,1.20876928196945
74,"cong/post-err",1.91779093302465,1.31816718584813
75,"cong/post-err",2.0212539828302,0.770575900851425
76,"cong/post-err",1.69222771122491,0.641307132454883
77,"cong/post-err",1.72380262608174,0.834232872261371
78,"cong/post-err",1.97503971229288,0.364009946796435
79,"cong/post-err",1.76082270977547,0.0167809318465351
80,"cong/post-err",1.74463122691677,1.85334179137634
81,"cong/post-err",1.99963249096197,0.928939485683685
82,"cong/post-err",2.00422031460182,1.7605628520474
83,"cong/post-err",1.76876821810666,0.723962058665655
84,"cong/post-err",1.9144672529601,1.5359237879495
85,"cong/post-err",1.79080285985854,0.7798860444017
86,"cong/post-err",1.93386695979391,0.48164221309768
87,"cong/post-err",1.9267242815081,0.359578266755995
88,"cong/post-err",2.23043581024479,1.10623414191545
89,"cong/post-err",1.92357292666435,0.217130372112565
90,"cong/post-err",1.76662195688475,0.837332754749462
91,"cong/post-err",1.87380740954648,1.18330840806315
92,"cong/post-err",1.61757508187585,1.28405993864368
93,"cong/post-err",1.7537759613418,1.24415017999128
94,"cong/post-err",2.02229179263473,1.27523060378177
